submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s976514985,p00111,u868447400,1531339621,C++,C++14,cpp,Accepted,0,3172,1431,1/1
s160259645,p00111,u332822187,1405641033,C++,C++,cpp,Accepted,20,1204,1922,1/1
s425072223,p00111,u858885710,1408170393,C++,C++,cpp,Accepted,240,1184,1712,1/1
s432983658,p00111,u278285028,1408863134,C++,C++,cpp,Accepted,20,1196,3311,1/1
s040432407,p00111,u765197056,1409726280,C++,C++,cpp,Accepted,10,1220,1965,1/1
s402791321,p00111,u373127758,1410622286,C++,C++,cpp,Accepted,20,1200,1178,1/1
s042664227,p00111,u075627240,1411115049,C++,C++,cpp,Accepted,20,1208,2101,1/1
s182245174,p00111,u553881259,1413544764,C++,C++11,cpp,Accepted,0,1196,1618,1/1
s823897275,p00111,u739636574,1414047563,C++,C++,cpp,Accepted,0,1172,1672,1/1
s078351075,p00111,u703196441,1415189374,C++,C++11,cpp,Accepted,0,1208,1867,1/1
s763444936,p00111,u297043950,1418120749,C++,C++11,cpp,Accepted,10,1216,2111,1/1
s031391161,p00111,u525048109,1418980013,C++,C++11,cpp,Accepted,10,1204,2461,1/1
s885507119,p00111,u434428594,1420892222,C++,C++11,cpp,Accepted,10,1224,1701,1/1
s869591139,p00111,u228756885,1423048594,C++,C++,cpp,Accepted,10,1256,1372,1/1
s456436898,p00111,u812047151,1424951729,C++,C++,cpp,Accepted,10,1220,3139,1/1
s165135663,p00111,u113716229,1427871118,C++,C++,cpp,Accepted,10,1208,2602,1/1
s885900793,p00111,u811434779,1428201570,C++,C++,cpp,Accepted,0,1196,1623,1/1
s466746695,p00111,u364532954,1428913228,C++,C++,cpp,Accepted,10,1212,1871,1/1
s132954496,p00111,u542962065,1429071146,C++,C++,cpp,Accepted,20,1208,3694,1/1
s797601699,p00111,u515601943,1429871819,C++,C++,cpp,Accepted,40,1196,2715,1/1
s201123958,p00111,u214600613,1435640163,C++,C++,cpp,Accepted,10,1204,1988,1/1
s970191985,p00111,u291112626,1436855399,C++,C++11,cpp,Accepted,0,1212,3197,1/1
